GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JunitExample Maven Webapp,TestISO2.P1,Cliente,0,33,0,0,0,14,0,7,0,7
JunitExample Maven Webapp,TestISO2.P1,Main,82,80,9,31,29,16,7,16,2,1
